,cps19_fed_gov_sat,cps19_spend_env,cps19_fed_id,cps19_province,cps19_education,cps19_age,cps19_imp_iss_party
0,Not very satisfied,Don't know/ Prefer not to answer,Don't know/ Prefer not to answer,Quebec,Master's degree,30,Green Party
1,Not very satisfied,Spend more,Green,Quebec,Master's degree,21,Green Party
2,Fairly satisfied,Spend more,Liberal,Ontario,Some university,19,
3,Not very satisfied,Spend about the same as now,Conservative,Ontario,Some university,21,Conservative Party
4,Not very satisfied,Spend more,Conservative,Ontario,Completed secondary/ high school,19,Don't know/ Prefer not to answer
5,Fairly satisfied,Spend more,Liberal,Ontario,Some university,20,
6,Not very satisfied,Spend more,Conservative,Ontario,Completed secondary/ high school,21,Don't know/ Prefer not to answer
7,Not very satisfied,Spend more,Liberal,Ontario,Some university,21,Green Party
8,Fairly satisfied,Spend more,Liberal,Ontario,Completed secondary/ high school,19,Liberal Party
9,Not at all satisfied,Spend about the same as now,ndp,Ontario,Completed secondary/ high school,19,
10,Not at all satisfied,Spend more,Conservative,Ontario,Some university,21,Green Party
11,Fairly satisfied,Spend more,Liberal,Ontario,Completed secondary/ high school,20,Green Party
12,Fairly satisfied,Spend more,Liberal,Ontario,Some university,19,Green Party
13,Fairly satisfied,Spend more,Liberal,Ontario,Some university,21,Liberal Party
14,Not very satisfied,Spend more,Green,Ontario,Completed secondary/ high school,19,Green Party
15,Fairly satisfied,Spend more,Liberal,Ontario,Completed secondary/ high school,19,Liberal Party
16,Fairly satisfied,Spend more,Liberal,Ontario,Completed secondary/ high school,19,Green Party
17,Not very satisfied,Spend more,Green,Ontario,Some university,19,Green Party
18,Not very satisfied,Spend about the same as now,ndp,Ontario,Some university,21,
19,Not very satisfied,Spend more,ndp,Ontario,Completed secondary/ high school,19,Liberal Party
20,Not very satisfied,Spend more,Conservative,Ontario,Completed secondary/ high school,19,Conservative Party
21,Fairly satisfied,Spend more,Liberal,Ontario,Some university,20,Liberal Party
22,Not very satisfied,Spend more,Green,Ontario,Completed secondary/ high school,19,Liberal Party
23,Fairly satisfied,Spend more,Liberal,Ontario,Some university,19,
24,Not very satisfied,Spend more,Liberal,Ontario,Completed secondary/ high school,19,Green Party
25,Fairly satisfied,Spend more,Liberal,Ontario,Some secondary/ high school,22,
26,Not very satisfied,Spend more,Liberal,Ontario,Completed secondary/ high school,20,ndp
27,Not very satisfied,Spend more,Don't know/ Prefer not to answer,Ontario,Completed secondary/ high school,19,Don't know/ Prefer not to answer
28,Not very satisfied,Spend more,Liberal,Ontario,Some university,19,Liberal Party
29,Fairly satisfied,Spend more,Liberal,Ontario,Some secondary/ high school,19,
30,Not at all satisfied,Spend less,Conservative,Ontario,Completed secondary/ high school,20,Conservative Party
31,Fairly satisfied,Spend more,Liberal,Ontario,Some university,24,Green Party
32,Not very satisfied,Spend more,ndp,Ontario,Some university,21,Green Party
33,Don't know/ Prefer not to answer,Spend more,Liberal,Ontario,Some secondary/ high school,19,Don't know/ Prefer not to answer
34,Fairly satisfied,Spend about the same as now,Conservative,Ontario,Some university,19,Liberal Party
35,Don't know/ Prefer not to answer,Spend more,Don't know/ Prefer not to answer,Ontario,Completed secondary/ high school,19,
36,Very satisfied,Spend more,Liberal,Ontario,Some university,22,Liberal Party
37,Not at all satisfied,Spend more,Conservative,Ontario,Completed secondary/ high school,19,
